fold,epoch,train_loss,mape,rmse,metric
3,80,1355034.5361624819,6.793530285358429,1164.0596,Train_Gpu_Memory_Mb
3,81,1384079.3372647867,6.945740431547165,1176.469,Train_Gpu_Memory_Mb
3,82,1342087.0511926294,6.784772127866745,1158.4849,Train_Gpu_Memory_Mb
3,83,1290485.1099172442,6.77337646484375,1135.9952,Train_Gpu_Memory_Mb
3,84,1352737.3865971693,6.842856854200363,1163.0724,Train_Gpu_Memory_Mb
3,85,1334749.7985320913,6.681293994188309,1155.3137,Train_Gpu_Memory_Mb
3,86,1376432.7980773987,6.877515465021133,1173.2147,Train_Gpu_Memory_Mb
3,87,1440501.6651897728,7.0376768708229065,1200.209,Train_Gpu_Memory_Mb
3,88,1602686.3444419224,7.073338329792023,1265.9725,Train_Gpu_Memory_Mb
3,89,1332632.0843327239,6.747286766767502,1154.3969,Train_Gpu_Memory_Mb
3,90,1312860.240640346,6.8169280886650085,1145.8011,Train_Gpu_Memory_Mb
3,91,1310247.1710114325,6.8189360201358795,1144.6603,Train_Gpu_Memory_Mb
3,92,1278445.7646136577,6.721648573875427,1130.6838,Train_Gpu_Memory_Mb
3,93,1367117.0529312338,6.84523731470108,1169.2378,Train_Gpu_Memory_Mb
3,94,1293963.053011188,6.639871746301651,1137.5249,Train_Gpu_Memory_Mb
3,95,1284698.9319260318,6.5837062895298,1133.4456,Train_Gpu_Memory_Mb
3,96,1332464.241233071,6.772098690271378,1154.3241,Train_Gpu_Memory_Mb
3,97,1366082.173514258,6.944771856069565,1168.7952,Train_Gpu_Memory_Mb
3,98,1297902.2716440698,6.772973388433456,1139.2551,Train_Gpu_Memory_Mb
3,99,1273115.4086182152,6.617099791765213,1128.3241,Train_Gpu_Memory_Mb
3,100,1248406.427234393,6.755430996417999,1117.321,Train_Gpu_Memory_Mb
4,1,35546552.36856356,37.27572560310364,5962.093,Train_Gpu_Memory_Mb
4,2,5809695.323831207,20.823808014392853,2410.3308,Train_Gpu_Memory_Mb
4,3,4534331.175405647,17.48816967010498,2129.397,Train_Gpu_Memory_Mb
4,4,3651238.0852188584,14.628735184669495,1910.8214,Train_Gpu_Memory_Mb
4,5,3551364.763930861,12.86916434764862,1884.5066,Train_Gpu_Memory_Mb
4,6,2950462.7576864287,11.34047657251358,1717.6912,Train_Gpu_Memory_Mb
4,7,2889799.2594491444,11.029869318008423,1699.9409,Train_Gpu_Memory_Mb
4,8,2617195.251236584,10.554876923561096,1617.7748,Train_Gpu_Memory_Mb
4,9,2587066.1754150824,10.456019639968872,1608.4359,Train_Gpu_Memory_Mb
4,10,2518565.3314031656,10.20902693271637,1586.9989,Train_Gpu_Memory_Mb
4,11,2323914.4227664154,9.980154782533646,1524.4391,Train_Gpu_Memory_Mb
4,12,2115398.868924841,9.51203927397728,1454.4412,Train_Gpu_Memory_Mb
4,13,2147238.2878832663,9.252329915761948,1465.3458,Train_Gpu_Memory_Mb
4,14,2116163.309582014,9.257543832063675,1454.7039,Train_Gpu_Memory_Mb
4,15,1992251.3569871723,8.76031368970871,1411.4714,Train_Gpu_Memory_Mb
4,16,2077611.054494809,8.990979194641113,1441.3921,Train_Gpu_Memory_Mb
4,17,1999539.394703823,8.757264912128448,1414.0508,Train_Gpu_Memory_Mb
4,18,1900285.3269235368,8.584301173686981,1378.5084,Train_Gpu_Memory_Mb
4,19,1890804.33604822,8.467317372560501,1375.0652,Train_Gpu_Memory_Mb
4,20,1868840.7568325305,8.40030387043953,1367.0554,Train_Gpu_Memory_Mb
4,21,1858307.7047578515,8.361342549324036,1363.1975,Train_Gpu_Memory_Mb
4,22,1880738.679825171,8.27777162194252,1371.4003,Train_Gpu_Memory_Mb
4,23,1775692.2737801892,8.16057026386261,1332.551,Train_Gpu_Memory_Mb
4,24,1817240.8653931164,8.228989690542221,1348.0508,Train_Gpu_Memory_Mb
4,25,1794303.481104179,8.016601949930191,1339.5161,Train_Gpu_Memory_Mb
